Population Distribution,Layout,Between or Within,Condition Sample Size,Contrast Size,ART-C observed Type I error rate,T-test observed Type I error rate,Mann Whitney U test/ Wilcoxon signed-rank test observed Type I error rate,ART observed Type I error rate
Cauchy,3x3,Between,40,1-Factor Contrasts,0.374,0.024,0.049,0.374
Cauchy,3x3,Between,40,2-Factor Contrasts,0.048,0.078,0.049,0.698
Cauchy,3x3,Between,16,1-Factor Contrasts,0.31,0.032,0.06,0.31
Cauchy,3x3,Between,16,2-Factor Contrasts,0.049,0.098,0.046,0.564
Cauchy,3x3,Between,24,1-Factor Contrasts,0.315,0.029,0.047,0.315
Cauchy,3x3,Between,24,2-Factor Contrasts,0.051,0.094,0.046,0.608
Cauchy,3x3,Between,32,1-Factor Contrasts,0.363,0.026,0.053,0.363
Cauchy,3x3,Between,32,2-Factor Contrasts,0.052,0.092,0.05,0.67
Cauchy,3x3,Between,8,1-Factor Contrasts,0.235,0.022,0.047,0.235
Cauchy,3x3,Between,8,2-Factor Contrasts,0.049,0.089,0.048,0.342
Cauchy,3x3,Within,40,1-Factor Contrasts,0.345,0.023,0.043,0.345
Cauchy,3x3,Within,40,2-Factor Contrasts,0.046,0.087,0.049,0.687
Cauchy,3x3,Within,16,1-Factor Contrasts,0.272,0.022,0.054,0.272
Cauchy,3x3,Within,16,2-Factor Contrasts,0.059,0.087,0.048,0.489
Cauchy,3x3,Within,24,1-Factor Contrasts,0.336,0.026,0.061,0.336
Cauchy,3x3,Within,24,2-Factor Contrasts,0.049,0.095,0.052,0.619
Cauchy,3x3,Within,8,1-Factor Contrasts,0.267,0.028,0.048,0.267
Cauchy,3x3,Within,8,2-Factor Contrasts,0.054,0.093,0.04,0.358
Cauchy,3x3,Within,32,1-Factor Contrasts,0.375,0.028,0.049,0.375
Cauchy,3x3,Within,32,2-Factor Contrasts,0.056,0.089,0.049,0.703
T with 3 D.F.,2x2,Between,8,1-Factor Contrasts,0.054,0.031,0.038,0.054
T with 3 D.F.,2x2,Between,8,2-Factor Contrasts,0.044,0.038,0.041,0.009
T with 3 D.F.,2x2,Between,32,1-Factor Contrasts,0.052,0.064,0.054,0.052
T with 3 D.F.,2x2,Between,32,2-Factor Contrasts,0.04,0.043,0.038,0.018
T with 3 D.F.,2x2,Between,40,1-Factor Contrasts,0.046,0.041,0.041,0.046
T with 3 D.F.,2x2,Between,40,2-Factor Contrasts,0.05,0.041,0.05,0.02
T with 3 D.F.,2x2,Between,24,1-Factor Contrasts,0.033,0.028,0.028,0.033
T with 3 D.F.,2x2,Between,24,2-Factor Contrasts,0.04,0.037,0.031,0.029
T with 3 D.F.,2x2,Between,16,1-Factor Contrasts,0.029,0.036,0.039,0.029
T with 3 D.F.,2x2,Between,16,2-Factor Contrasts,0.054,0.048,0.052,0.031
T with 3 D.F.,2x2,Within,24,1-Factor Contrasts,0.054,0.044,0.041,0.054
T with 3 D.F.,2x2,Within,24,2-Factor Contrasts,0.04,0.038,0.049,0.028
T with 3 D.F.,2x2,Within,32,1-Factor Contrasts,0.06,0.038,0.063,0.06
T with 3 D.F.,2x2,Within,32,2-Factor Contrasts,0.058,0.051,0.053,0.023
T with 3 D.F.,2x2,Within,16,1-Factor Contrasts,0.037,0.037,0.042,0.037
T with 3 D.F.,2x2,Within,16,2-Factor Contrasts,0.049,0.046,0.041,0.013
T with 3 D.F.,2x2,Within,40,1-Factor Contrasts,0.041,0.045,0.036,0.041
T with 3 D.F.,2x2,Within,40,2-Factor Contrasts,0.067,0.053,0.058,0.022
T with 3 D.F.,2x2,Within,8,1-Factor Contrasts,0.049,0.051,0.044,0.049
T with 3 D.F.,2x2,Within,8,2-Factor Contrasts,0.053,0.041,0.035,0.021
T with 3 D.F.,2x2x2,Between,32,1-Factor Contrasts,0.052,0.052,0.046,0.052
T with 3 D.F.,2x2x2,Between,32,2-Factor Contrasts,0.046,0.045,0.045,0.017
T with 3 D.F.,2x2x2,Between,32,3-Factor Contrasts,0.046,0.045,0.045,0.015
T with 3 D.F.,2x2x2,Between,16,1-Factor Contrasts,0.048,0.05,0.052,0.048
T with 3 D.F.,2x2x2,Between,16,2-Factor Contrasts,0.052,0.053,0.051,0.023
T with 3 D.F.,2x2x2,Between,16,3-Factor Contrasts,0.053,0.057,0.048,0.017
T with 3 D.F.,2x2x2,Between,8,1-Factor Contrasts,0.054,0.044,0.049,0.054
T with 3 D.F.,2x2x2,Between,8,2-Factor Contrasts,0.048,0.05,0.047,0.007
T with 3 D.F.,2x2x2,Between,8,3-Factor Contrasts,0.045,0.051,0.046,0.005
T with 3 D.F.,2x2x2,Between,40,1-Factor Contrasts,0.049,0.046,0.042,0.049
T with 3 D.F.,2x2x2,Between,40,2-Factor Contrasts,0.053,0.048,0.052,0.021
T with 3 D.F.,2x2x2,Between,40,3-Factor Contrasts,0.048,0.05,0.049,0.02
T with 3 D.F.,2x2x2,Between,24,1-Factor Contrasts,0.055,0.043,0.055,0.055
T with 3 D.F.,2x2x2,Between,24,2-Factor Contrasts,0.044,0.043,0.047,0.023
T with 3 D.F.,2x2x2,Between,24,3-Factor Contrasts,0.043,0.044,0.043,0.023
T with 3 D.F.,2x2x2,Within,40,1-Factor Contrasts,0.054,0.05,0.057,0.054
T with 3 D.F.,2x2x2,Within,40,2-Factor Contrasts,0.046,0.049,0.048,0.02
T with 3 D.F.,2x2x2,Within,40,3-Factor Contrasts,0.048,0.051,0.046,0.016
