"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
13,32,"within","104","3","a d","4","b d",93.0000000000004,93.0000000000004,92.9999999999998,-1.91996750296314,1.66497126149203,0.389573035581502,0.057926700919367,0.0992840678165437,0.697742985165341,0.585975122172386
14,8,"within","105","5","a","6","b",21,21,21,1.01349629349704,1.04014776952055,1.01349629349704,0.322358761790763,0.310099412272723,0.322358761790763,0.231201171875
14,8,"within","106","7","c","8","d",21,21,21,-0.321545824016559,0.916251116517594,-0.321545824016559,0.750975351797715,0.369937905946133,0.750975351797715,0.979949951171875
14,8,"within","107","1","a c","2","b c",21,21.0000000000001,21,-1.03758483006558,-0.0411843599825193,0.977929454758502,0.311263796823123,0.967537978607907,0.339241386976313,0.546875
14,8,"within","108","1","a c","3","a d",21,21,21,-1.7293080501093,-0.128792523487226,0.112838014010596,0.0984280652916219,0.898747343615276,0.911230695768606,0.84375
14,8,"within","109","1","a c","4","b d",21,21,21,-2.92060915129571,1.38338291902338,0.564190070052982,0.00817376545667787,0.18107877788306,0.578601371449009,0.546875
14,8,"within","110","2","b c","3","a d",21,21,21,-0.69172322004372,-0.0876081635047068,0.865091440747906,0.496688359669189,0.931018158105944,0.396763779460067,0.84375
14,8,"within","111","2","b c","4","b d",21,21,21,-1.88302432123013,1.4245672790059,-0.41373938470552,0.0736237737492373,0.16897451800321,0.68325986972144,0.9453125
14,8,"within","112","3","a d","4","b d",21,21,21,-1.19130110118641,1.51217544251061,0.451352056042386,0.246826291980643,0.145393154319602,0.656362390709583,0.3828125
15,16,"within","113","5","a","6","b",45,45,45,-1.32279432302294,-1.47044705004937,-1.32279432302294,0.192586879648874,0.148398837364468,0.192586879648874,0.421125980094075
15,16,"within","114","7","c","8","d",45,45,45,-1.40664011277198,-1.31872169064768,-1.40664011277198,0.166402973592132,0.193934320918182,0.166402973592132,0.203178629279137
15,16,"within","115","1","a c","2","b c",45,45,45.0000000000002,2.12191447510804,0.5026614231836,0.028722406334816,0.0393842530569721,0.617653582446094,0.977212992373891,0.632171630859375
15,16,"within","116","1","a c","3","a d",45,45,45.0000000000001,1.61072598792292,0.609947453694502,-0.411687824132361,0.114232645564159,0.54496456868644,0.682522630456478,0.979949951171875
15,16,"within","117","1","a c","4","b d",45,45,45,1.51427532996347,-1.97224013042042,-1.72334438008895,0.136948869647616,0.0547466211109273,0.0916919870934138,0.252227783203125
15,16,"within","118","2","b c","3","a d",45,45,45.0000000000001,-0.511188487185119,0.107286030510903,0.440410230467177,0.611718218804142,0.915038970575914,0.661748391834661,0.93988037109375
15,16,"within","119","2","b c","4","b d",45,45,45,-0.607639145144576,-2.47490155360402,-1.75206678642377,0.546481230192101,0.0171608205422984,0.0865747642131262,0.083251953125
15,16,"within","120","3","a d","4","b d",45,45,45.0000000000001,-0.0964506579594565,-2.58218758411492,-1.31165655595659,0.923590937901524,0.0131430173077822,0.196288789147978,0.17535400390625
16,32,"within","121","5","a","6","b",92.9999999999998,93.000000000001,92.9999999999998,-0.696246894022002,-1.84476881921782,-0.696246894022002,0.488010685302981,0.0682540793635206,0.488010685302981,0.323933459126173
