,Population_Distribution,Layout,BW,Condition_Sample_Size,Contrast_Size,ART_Con_Num_Sig,Param_Num_Sig,Nonparam_Num_Sig,ART_Omni_Num_Sig,ART_Con_Proportion_Sig,Param_Proportion_Sig,Nonparam_Proportion_Sig,ART_Omni_Proportion_Sig,Num_Trials
155,101,2x2,within,8,1,201,209,161,201,0.505025126,0.525125628,0.404522613,0.505025126,398
156,101,2x2,within,8,2,585,585,483,234,0.489949749,0.489949749,0.404522613,0.195979899,1194
157,101,2x2,within,16,1,253,257,213,253,0.608173077,0.617788462,0.512019231,0.608173077,416
158,101,2x2,within,16,2,797,795,753,394,0.638621795,0.637019231,0.603365385,0.315705128,1248
159,101,2x2,within,32,1,281,286,269,281,0.70959596,0.722222222,0.679292929,0.70959596,396
160,101,2x2,within,32,2,839,836,814,453,0.706228956,0.703703704,0.685185185,0.381313131,1188
161,101,2x2x2,between,24,1,387,392,330,387,0.668393782,0.677029361,0.569948187,0.668393782,579
162,101,2x2x2,between,24,2,2404,2422,2090,1327,0.691997697,0.697179044,0.601611975,0.381980426,3474
163,101,2x2x2,between,24,3,3849,3813,3753,1332,0.712250185,0.705588453,0.694485566,0.246484086,5404
164,101,2x2x2,between,40,1,426,425,379,426,0.743455497,0.741710297,0.661431065,0.743455497,573
165,101,2x2x2,between,40,2,2610,2601,2351,1552,0.759162304,0.756544503,0.683827807,0.451425247,3438
166,101,2x2x2,between,40,3,4102,4079,4028,1708,0.767015707,0.762715034,0.753178758,0.319371728,5348
167,101,2x2x2,between,32,1,422,433,375,422,0.703333333,0.721666667,0.625,0.703333333,600
168,101,2x2x2,between,32,2,2640,2667,2406,1548,0.733333333,0.740833333,0.668333333,0.43,3600
169,101,2x2x2,between,32,3,4137,4107,4031,1610,0.73875,0.733392857,0.719821429,0.2875,5600
170,101,2x2x2,between,8,1,307,307,232,307,0.514237856,0.514237856,0.388609715,0.514237856,597
171,101,2x2x2,between,8,2,1837,1812,1395,821,0.512841988,0.505862647,0.389447236,0.229201563,3582
172,101,2x2x2,between,8,3,2875,2872,2669,587,0.515972721,0.515434314,0.479002154,0.105348169,5572
173,101,2x2x2,between,16,1,399,395,323,399,0.612903226,0.606758833,0.496159754,0.612903226,651
174,101,2x2x2,between,16,2,2417,2419,2048,1363,0.618791603,0.619303635,0.524321557,0.348950333,3906
175,101,2x2x2,between,16,3,3826,3761,3641,1104,0.629690586,0.618992758,0.599242923,0.181698486,6076
176,101,2x2x2,within,40,1,444,451,394,444,0.74,0.751666667,0.656666667,0.74,600
177,101,2x2x2,within,40,2,2659,2678,2463,1556,0.738611111,0.743888889,0.684166667,0.432222222,3600
178,101,2x2x2,within,40,3,4175,4183,4129,1733,0.745535714,0.746964286,0.737321429,0.309464286,5600
179,101,2x2x2,within,8,1,271,270,205,271,0.480496454,0.478723404,0.363475177,0.480496454,564
180,101,2x2x2,within,8,2,1662,1668,1278,749,0.491134752,0.492907801,0.377659574,0.221335697,3384
181,101,2x2x2,within,8,3,2615,2595,2118,481,0.496770517,0.492971125,0.402355623,0.09137538,5264
182,101,2x2x2,within,32,1,407,411,357,407,0.710296684,0.717277487,0.623036649,0.710296684,573
183,101,2x2x2,within,32,2,2537,2547,2327,1439,0.737929029,0.740837696,0.676847004,0.418557301,3438
184,101,2x2x2,within,32,3,3954,3949,3872,1427,0.73934181,0.738406881,0.724008975,0.266828721,5348
185,101,2x2x2,within,24,1,401,411,340,401,0.710992908,0.728723404,0.602836879,0.710992908,564
186,101,2x2x2,within,24,2,2369,2376,2115,1300,0.700059102,0.70212766,0.625,0.384160757,3384
187,101,2x2x2,within,24,3,3669,3703,3575,1260,0.69699848,0.703457447,0.679141337,0.239361702,5264
188,101,2x2x2,within,16,1,354,355,291,354,0.592964824,0.594639866,0.487437186,0.592964824,597
189,101,2x2x2,within,16,2,2222,2225,1933,1122,0.620323841,0.621161362,0.539642658,0.313232831,3582
190,101,2x2x2,within,16,3,3461,3451,3247,1090,0.621141421,0.619346734,0.582735104,0.195620962,5572
191,101,3x3,between,24,1,828,837,736,828,0.693467337,0.701005025,0.61641541,0.693467337,1194
192,101,3x3,between,24,2,5069,5027,4941,4001,0.707565606,0.701702959,0.689698492,0.558486879,7164
193,101,3x3,between,16,1,712,716,583,712,0.596314908,0.599664992,0.488274707,0.596314908,1194
194,101,3x3,between,16,2,4594,4547,4369,3635,0.641261865,0.634701284,0.60985483,0.507398102,7164
195,101,3x3,between,40,1,899,898,796,899,0.734477124,0.733660131,0.650326797,0.734477124,1224
196,101,3x3,between,40,2,5565,5520,5476,4750,0.757761438,0.751633987,0.745642702,0.646786492,7344
197,101,3x3,between,8,1,575,573,412,575,0.496545769,0.494818653,0.355785838,0.496545769,1158
198,101,3x3,between,8,2,3754,3734,3497,2662,0.540299367,0.537420841,0.503310305,0.383131836,6948
199,101,3x3,between,32,1,908,916,803,908,0.738211382,0.744715447,0.652845528,0.738211382,1230
200,101,3x3,between,32,2,5470,5442,5360,4448,0.741192412,0.737398374,0.726287263,0.602710027,7380
201,101,3x3,within,40,1,947,950,854,947,0.762479871,0.76489533,0.687600644,0.762479871,1242
202,101,3x3,within,40,2,5644,5638,5566,4739,0.757380569,0.756575416,0.74691358,0.635936661,7452
203,101,3x3,within,24,1,779,784,684,779,0.676215278,0.680555556,0.59375,0.676215278,1152
204,101,3x3,within,24,2,4834,4800,4671,4018,0.699363426,0.694444444,0.67578125,0.58130787,6912
205,101,3x3,within,16,1,753,772,602,753,0.624378109,0.64013267,0.499170813,0.624378109,1206
206,101,3x3,within,16,2,4683,4641,4384,3623,0.647180763,0.641376451,0.605859591,0.500690989,7236
207,101,3x3,within,8,1,624,630,459,624,0.48372093,0.488372093,0.355813953,0.48372093,1290
208,101,3x3,within,8,2,3873,3911,3168,2613,0.500387597,0.505297158,0.409302326,0.337596899,7740
209,101,3x3,within,32,1,685,699,600,685,0.691919192,0.706060606,0.606060606,0.691919192,990
210,101,3x3,within,32,2,4323,4311,4254,3529,0.727777778,0.725757576,0.716161616,0.594107744,5940
211,111,2x2,between,8,1,187,139,136,187,0.484455959,0.360103627,0.352331606,0.484455959,386
212,111,2x2,between,8,2,589,371,564,392,0.508635579,0.320379965,0.487046632,0.33851468,1158
213,111,2x2,between,24,1,337,287,287,337,0.745575221,0.634955752,0.634955752,0.745575221,452
214,111,2x2,between,24,2,937,674,919,715,0.69100295,0.497050147,0.677728614,0.527286136,1356
215,111,2x2,between,40,1,278,248,241,278,0.785310734,0.700564972,0.68079096,0.785310734,354
216,111,2x2,between,40,2,800,624,791,642,0.753295669,0.587570621,0.744821092,0.604519774,1062
217,111,2x2,between,32,1,292,259,257,292,0.73,0.6475,0.6425,0.73,400
218,111,2x2,between,32,2,894,654,876,688,0.745,0.545,0.73,0.573333333,1200
219,111,2x2,between,16,1,258,197,218,258,0.632352941,0.482843137,0.534313725,0.632352941,408
220,111,2x2,between,16,2,765,545,733,526,0.625,0.445261438,0.598856209,0.429738562,1224
221,111,2x2,within,40,1,308,243,279,308,0.747572816,0.589805825,0.677184466,0.747572816,412
222,111,2x2,within,40,2,925,648,878,783,0.748381877,0.524271845,0.710355987,0.633495146,1236
223,111,2x2,within,24,1,239,179,191,239,0.675141243,0.505649718,0.539548023,0.675141243,354
224,111,2x2,within,24,2,721,471,688,575,0.678907721,0.443502825,0.647834275,0.541431262,1062
225,111,2x2,within,8,1,188,120,139,188,0.472361809,0.301507538,0.349246231,0.472361809,398
226,111,2x2,within,8,2,585,329,454,401,0.489949749,0.275544389,0.380234506,0.335845896,1194
227,111,2x2,within,16,1,264,186,202,264,0.634615385,0.447115385,0.485576923,0.634615385,416
228,111,2x2,within,16,2,797,518,713,576,0.638621795,0.415064103,0.571314103,0.461538462,1248
229,111,2x2,within,32,1,294,235,261,294,0.738693467,0.590452261,0.655778894,0.738693467,398
230,111,2x2,within,32,2,838,567,787,708,0.701842546,0.474874372,0.659128978,0.592964824,1194
231,111,2x2x2,between,24,1,460,345,330,460,0.79447323,0.595854922,0.569948187,0.79447323,579
